,Movie_Name,Released_year,Director,movie_Rating,User_voting,Movie_details_Link
174,Bacheha-Ye aseman,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.1,75743,/title/tt0118849/
175,Blade Runner,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.1,774106,/title/tt0083658/
176,The Gold Rush,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.1,112649,/title/tt0015864/
177,Before Sunrise,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.1,311524,/title/tt0112471/
178,12 Years a Slave,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.1,704403,/title/tt2024544/
179,On the Waterfront,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.1,156656,/title/tt0047296/
180,Harry Potter and the Deathly Hallows - Part 2,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.1,879970,/title/tt1201607/
181,Klaus,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.1,160244,/title/tt4729430/
182,Ben-Hur,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.1,241114,/title/tt0052618/
183,Gone Girl,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.1,987810,/title/tt2267998/
184,Smultronstället,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.1,108608,/title/tt0050986/
185,The Grand Budapest Hotel,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.1,815624,/title/tt2278388/
186,The General,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.1,92639,/title/tt0017925/
187,The Third Man,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.1,173338,/title/tt0041959/
188,In the Name of the Father,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.1,176919,/title/tt0107207/
189,The Deer Hunter,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.1,341797,/title/tt0077416/
190,Barry Lyndon,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.1,170169,/title/tt0072684/
